,Team 1,Team 2,Date,Venue_Team1,Venue_Team2,Winner,Last10MatchesTeam1,Last10MatchesTeam2,Last10ConflictsTeam1,Last10ConflictsTeam2,label
148,England,Pakistan,1982-07-19,0,1,England,5.0,4.0,6.0,3.0,0.0
149,India,Sri Lanka,1982-09-12,0,1,India,2.0,3.0,0.0,1.0,0.0
150,India,Sri Lanka,1982-09-15,0,1,India,3.0,3.0,1.0,1.0,0.0
151,Pakistan,Australia,1982-09-20,2,2,Pakistan,3.0,5.0,4.0,3.0,0.0
152,India,Sri Lanka,1982-09-26,0,1,India,4.0,3.0,2.0,1.0,0.0
153,Pakistan,Australia,1982-10-08,0,1,Pakistan,4.0,4.0,5.0,3.0,0.0
154,Pakistan,India,1982-12-03,0,1,Pakistan,4.0,5.0,1.0,1.0,0.0
155,Pakistan,India,1982-12-17,0,1,Pakistan,5.0,5.0,2.0,1.0,0.0
156,Pakistan,India,1982-12-31,0,1,India,6.0,5.0,3.0,1.0,1.0
157,Australia,New Zealand,1983-01-09,0,1,Australia,4.0,5.0,7.0,3.0,0.0
158,Australia,England,1983-01-11,0,1,Australia,4.0,6.0,2.0,8.0,0.0
159,England,New Zealand,1983-01-13,2,2,New Zealand,6.0,4.0,5.0,0.0,1.0
160,England,New Zealand,1983-01-15,2,2,England,5.0,4.0,5.0,1.0,0.0
161,Australia,England,1983-01-16,0,1,Australia,5.0,6.0,3.0,7.0,0.0
162,Australia,New Zealand,1983-01-18,0,1,New Zealand,6.0,4.0,7.0,3.0,1.0
163,England,New Zealand,1983-01-20,2,2,England,6.0,5.0,6.0,1.0,0.0
164,Pakistan,India,1983-01-21,0,1,Pakistan,6.0,6.0,3.0,2.0,0.0
165,Australia,New Zealand,1983-01-22,0,1,New Zealand,5.0,5.0,6.0,4.0,1.0
166,Australia,England,1983-01-23,0,1,Australia,5.0,6.0,4.0,6.0,0.0
167,Australia,England,1983-01-26,0,1,England,6.0,6.0,5.0,5.0,1.0
168,England,New Zealand,1983-01-29,2,2,New Zealand,6.0,5.0,7.0,1.0,1.0
169,Australia,England,1983-01-30,0,1,England,5.0,5.0,5.0,5.0,1.0
170,Australia,New Zealand,1983-01-31,0,1,New Zealand,4.0,5.0,6.0,4.0,1.0
171,England,New Zealand,1983-02-05,2,2,New Zealand,5.0,5.0,7.0,2.0,1.0
172,Australia,New Zealand,1983-02-06,0,1,Australia,4.0,6.0,6.0,4.0,0.0
173,Australia,New Zealand,1983-02-09,0,1,Australia,5.0,6.0,6.0,4.0,0.0
174,Australia,New Zealand,1983-02-13,0,1,Australia,5.0,6.0,6.0,4.0,0.0
175,New Zealand,England,1983-02-19,0,1,New Zealand,5.0,4.0,3.0,7.0,0.0
176,New Zealand,England,1983-02-23,0,1,New Zealand,6.0,4.0,4.0,6.0,0.0
177,New Zealand,England,1983-02-26,0,1,New Zealand,6.0,4.0,5.0,5.0,0.0
178,New Zealand,Sri Lanka,1983-03-02,0,1,New Zealand,7.0,3.0,1.0,0.0,0.0
179,West Indies,India,1983-03-09,0,1,West Indies,8.0,5.0,1.0,0.0,0.0
180,Australia,New Zealand,1983-03-17,0,1,New Zealand,5.0,7.0,6.0,4.0,1.0
181,New Zealand,Sri Lanka,1983-03-19,0,1,New Zealand,7.0,3.0,2.0,0.0,0.0
182,New Zealand,Sri Lanka,1983-03-20,0,1,New Zealand,7.0,2.0,3.0,0.0,0.0
183,West Indies,India,1983-03-29,0,1,India,8.0,4.0,2.0,0.0,1.0
184,West Indies,India,1983-04-07,0,1,West Indies,7.0,5.0,2.0,1.0,0.0
185,Sri Lanka,Australia,1983-04-13,0,1,Sri Lanka,2.0,4.0,0.0,1.0,0.0
186,Sri Lanka,Australia,1983-04-16,0,1,Sri Lanka,2.0,4.0,1.0,1.0,0.0
187,England,New Zealand,1983-06-09,0,1,England,3.0,7.0,4.0,6.0,0.0
188,Pakistan,Sri Lanka,1983-06-09,2,2,Pakistan,6.0,3.0,3.0,1.0,0.0
189,Australia,Zimbabwe,1983-06-09,2,2,Zimbabwe,4.0,0.0,0.0,0.0,1.0
190,India,West Indies,1983-06-09,2,2,India,5.0,7.0,1.0,3.0,0.0
191,England,Sri Lanka,1983-06-11,0,1,England,4.0,2.0,1.0,1.0,0.0
192,New Zealand,Pakistan,1983-06-11,2,2,New Zealand,7.0,7.0,2.0,0.0,0.0
193,Australia,West Indies,1983-06-11,2,2,West Indies,3.0,6.0,4.0,6.0,1.0
194,India,Zimbabwe,1983-06-11,2,2,India,5.0,1.0,0.0,0.0,0.0
195,England,Pakistan,1983-06-13,0,1,England,4.0,6.0,7.0,3.0,0.0
196,New Zealand,Sri Lanka,1983-06-13,2,2,New Zealand,8.0,2.0,4.0,0.0,0.0
197,Australia,India,1983-06-13,2,2,Australia,3.0,5.0,4.0,1.0,0.0
198,West Indies,Zimbabwe,1983-06-13,2,2,West Indies,6.0,1.0,0.0,0.0,0.0
199,England,New Zealand,1983-06-15,0,1,New Zealand,5.0,9.0,4.0,6.0,1.0
200,India,West Indies,1983-06-15,2,2,West Indies,4.0,7.0,2.0,3.0,1.0
201,Pakistan,Sri Lanka,1983-06-16,2,2,Pakistan,6.0,2.0,4.0,1.0,0.0
202,Australia,Zimbabwe,1983-06-16,2,2,Australia,4.0,1.0,0.0,1.0,0.0
203,England,Pakistan,1983-06-18,0,1,England,4.0,7.0,8.0,2.0,0.0
204,New Zealand,Sri Lanka,1983-06-18,2,2,Sri Lanka,9.0,2.0,5.0,0.0,1.0
205,Australia,West Indies,1983-06-18,2,2,West Indies,5.0,7.0,3.0,7.0,1.0
206,India,Zimbabwe,1983-06-18,2,2,India,4.0,1.0,1.0,0.0,0.0
207,England,Sri Lanka,1983-06-20,0,1,England,5.0,3.0,2.0,1.0,0.0
208,New Zealand,Pakistan,1983-06-20,2,2,Pakistan,8.0,6.0,3.0,0.0,1.0
209,Australia,India,1983-06-20,2,2,India,4.0,5.0,5.0,1.0,1.0
210,West Indies,Zimbabwe,1983-06-20,2,2,West Indies,7.0,1.0,1.0,0.0,0.0
211,England,India,1983-06-22,0,1,India,5.0,5.0,6.0,2.0,1.0
212,Pakistan,West Indies,1983-06-22,2,2,West Indies,6.0,8.0,1.0,9.0,1.0
213,India,West Indies,1983-06-25,2,2,India,6.0,8.0,2.0,4.0,0.0
214,India,Pakistan,1983-09-10,0,1,India,7.0,5.0,2.0,4.0,0.0
215,India,Pakistan,1983-10-02,0,1,India,7.0,4.0,3.0,4.0,0.0
216,India,West Indies,1983-10-13,0,1,West Indies,8.0,7.0,3.0,4.0,1.0
217,India,West Indies,1983-11-09,0,1,West Indies,7.0,8.0,3.0,5.0,1.0
218,India,West Indies,1983-12-01,0,1,West Indies,6.0,8.0,3.0,6.0,1.0
219,India,West Indies,1983-12-07,0,1,West Indies,6.0,9.0,3.0,7.0,1.0
220,India,West Indies,1983-12-17,0,1,West Indies,6.0,9.0,3.0,7.0,1.0
221,Australia,West Indies,1984-01-08,0,1,West Indies,3.0,9.0,2.0,8.0,1.0
222,Australia,Pakistan,1984-01-10,0,1,Australia,2.0,4.0,3.0,6.0,0.0
223,Pakistan,West Indies,1984-01-12,2,2,Pakistan,3.0,9.0,1.0,9.0,0.0
224,Pakistan,West Indies,1984-01-14,2,2,West Indies,3.0,8.0,2.0,8.0,1.0
225,Australia,West Indies,1984-01-17,0,1,West Indies,3.0,8.0,2.0,8.0,1.0
226,Pakistan,West Indies,1984-01-19,2,2,West Indies,3.0,8.0,2.0,8.0,1.0
227,Australia,Pakistan,1984-01-21,0,1,Australia,3.0,3.0,4.0,6.0,0.0
228,Australia,West Indies,1984-01-22,0,1,West Indies,4.0,9.0,2.0,8.0,1.0
229,Australia,Pakistan,1984-01-25,0,1,Australia,4.0,2.0,4.0,6.0,0.0
230,Pakistan,West Indies,1984-01-28,2,2,West Indies,2.0,9.0,2.0,8.0,1.0
231,Australia,West Indies,1984-01-29,0,1,West Indies,5.0,9.0,2.0,8.0,1.0
232,Australia,Pakistan,1984-01-30,0,1,Australia,4.0,1.0,5.0,5.0,0.0
233,Pakistan,West Indies,1984-02-04,2,2,West Indies,1.0,9.0,2.0,8.0,1.0
234,Australia,West Indies,1984-02-05,0,1,Australia,4.0,9.0,1.0,9.0,0.0
235,Australia,West Indies,1984-02-08,0,1,West Indies,5.0,8.0,2.0,8.0,1.0
236,Australia,West Indies,1984-02-12,0,1,West Indies,5.0,8.0,2.0,8.0,1.0
237,New Zealand,England,1984-02-18,0,1,England,7.0,5.0,7.0,3.0,1.0
238,New Zealand,England,1984-02-22,0,1,England,6.0,6.0,6.0,4.0,1.0
239,New Zealand,England,1984-02-25,0,1,New Zealand,5.0,7.0,6.0,4.0,0.0
240,West Indies,Australia,1984-02-29,0,1,West Indies,9.0,5.0,9.0,1.0,0.0
241,Sri Lanka,New Zealand,1984-03-03,0,1,New Zealand,3.0,5.0,1.0,5.0,1.0
242,Pakistan,England,1984-03-09,0,1,Pakistan,1.0,7.0,1.0,9.0,0.0
243,West Indies,Australia,1984-03-14,0,1,Australia,9.0,4.0,9.0,1.0,1.0
244,Pakistan,England,1984-03-26,0,1,England,2.0,6.0,2.0,8.0,1.0
245,Sri Lanka,New Zealand,1984-03-31,0,1,Sri Lanka,3.0,5.0,1.0,6.0,0.0
246,Sri Lanka,New Zealand,1984-04-01,0,1,New Zealand,4.0,5.0,2.0,6.0,1.0
247,Pakistan,Sri Lanka,1984-04-06,2,2,Sri Lanka,2.0,3.0,5.0,1.0,1.0
248,India,Sri Lanka,1984-04-08,2,2,India,5.0,3.0,3.0,1.0,0.0
249,India,Pakistan,1984-04-13,2,2,India,5.0,1.0,4.0,4.0,0.0
250,West Indies,Australia,1984-04-19,0,1,West Indies,8.0,5.0,8.0,2.0,0.0
251,West Indies,Australia,1984-04-26,0,1,West Indies,8.0,4.0,8.0,2.0,0.0
252,England,West Indies,1984-05-31,0,1,West Indies,6.0,8.0,2.0,8.0,1.0
253,England,West Indies,1984-06-02,0,1,England,5.0,8.0,2.0,8.0,0.0
254,England,West Indies,1984-06-04,0,1,West Indies,6.0,7.0,2.0,8.0,1.0
255,India,Australia,1984-09-28,2,2,Australia,5.0,4.0,2.0,5.0,1.0
256,India,Australia,1984-10-05,0,1,Australia,4.0,4.0,2.0,6.0,1.0
257,India,Australia,1984-10-06,0,1,Australia,3.0,5.0,2.0,7.0,1.0
258,Pakistan,India,1984-10-12,0,1,Pakistan,1.0,2.0,4.0,5.0,0.0
259,Sri Lanka,New Zealand,1984-11-03,0,1,Sri Lanka,3.0,5.0,2.0,7.0,0.0
260,Sri Lanka,New Zealand,1984-11-04,0,1,New Zealand,4.0,4.0,3.0,7.0,1.0
261,Pakistan,New Zealand,1984-11-12,0,1,Pakistan,2.0,4.0,1.0,3.0,0.0
262,Pakistan,New Zealand,1984-11-23,0,1,Pakistan,3.0,4.0,2.0,3.0,0.0
263,Pakistan,New Zealand,1984-12-02,0,1,New Zealand,4.0,4.0,3.0,3.0,1.0
264,India,England,1984-12-05,0,1,England,2.0,5.0,3.0,6.0,1.0
265,Pakistan,New Zealand,1984-12-07,0,1,Pakistan,4.0,5.0,3.0,4.0,0.0
266,India,England,1984-12-27,0,1,England,2.0,5.0,3.0,7.0,1.0
267,Australia,West Indies,1985-01-06,0,1,West Indies,5.0,7.0,2.0,8.0,1.0
268,Australia,Sri Lanka,1985-01-08,0,1,Australia,4.0,4.0,1.0,2.0,0.0
269,Sri Lanka,West Indies,1985-01-10,2,2,West Indies,4.0,8.0,0.0,1.0,1.0
270,New Zealand,Pakistan,1985-01-12,0,1,New Zealand,5.0,5.0,4.0,4.0,0.0
271,Sri Lanka,West Indies,1985-01-12,2,2,West Indies,3.0,8.0,0.0,2.0,1.0
272,Australia,West Indies,1985-01-13,0,1,West Indies,5.0,8.0,2.0,8.0,1.0
273,New Zealand,Pakistan,1985-01-15,0,1,New Zealand,5.0,5.0,5.0,4.0,0.0
274,Australia,West Indies,1985-01-15,0,1,West Indies,5.0,8.0,2.0,8.0,1.0
275,Sri Lanka,West Indies,1985-01-17,2,2,West Indies,3.0,9.0,0.0,3.0,1.0
276,Australia,Sri Lanka,1985-01-19,0,1,Sri Lanka,5.0,3.0,2.0,2.0,1.0
277,Australia,West Indies,1985-01-20,0,1,West Indies,4.0,9.0,2.0,8.0,1.0
278,India,England,1985-01-20,0,1,England,2.0,6.0,3.0,7.0,1.0
279,Australia,Sri Lanka,1985-01-23,0,1,Australia,4.0,3.0,2.0,3.0,0.0
280,India,England,1985-01-23,0,1,India,2.0,6.0,3.0,7.0,0.0
281,Sri Lanka,West Indies,1985-01-26,2,2,West Indies,3.0,9.0,0.0,4.0,1.0
282,Australia,West Indies,1985-01-27,0,1,West Indies,5.0,9.0,1.0,9.0,1.0
283,India,England,1985-01-27,0,1,England,3.0,5.0,4.0,6.0,1.0
284,Australia,Sri Lanka,1985-01-28,0,1,Australia,4.0,2.0,3.0,3.0,0.0
285,Sri Lanka,West Indies,1985-02-02,2,2,West Indies,2.0,10.0,0.0,5.0,1.0
286,Australia,Sri Lanka,1985-02-03,0,1,Australia,4.0,1.0,4.0,3.0,0.0
287,New Zealand,Pakistan,1985-02-06,0,1,New Zealand,5.0,4.0,6.0,4.0,0.0
288,Australia,West Indies,1985-02-06,0,1,Australia,4.0,10.0,1.0,9.0,0.0
289,Australia,West Indies,1985-02-10,0,1,West Indies,5.0,9.0,2.0,8.0,1.0
290,Australia,West Indies,1985-02-12,0,1,West Indies,4.0,9.0,2.0,8.0,1.0
291,Australia,England,1985-02-17,0,1,Australia,4.0,6.0,5.0,5.0,0.0
292,India,Pakistan,1985-02-20,2,2,India,2.0,4.0,5.0,5.0,0.0
293,New Zealand,Sri Lanka,1985-02-23,2,2,New Zealand,6.0,1.0,7.0,3.0,0.0
294,Australia,Pakistan,1985-02-24,0,1,Pakistan,5.0,4.0,6.0,4.0,1.0
295,England,India,1985-02-26,2,2,India,6.0,2.0,6.0,4.0,1.0
296,Sri Lanka,West Indies,1985-02-27,2,2,West Indies,1.0,9.0,0.0,6.0,1.0
